aX,aY,aZ,gX,gY,gZ
-0.327,1.133,0.550,3.920,26.810,24.850
-0.435,1.094,0.537,-13.790,33.880,17.780
-0.534,1.065,0.511,-38.990,38.360,6.930
-0.628,1.072,0.471,-64.470,38.780,-5.880
-0.678,1.060,0.440,-78.890,37.800,-25.410
-0.676,1.063,0.411,-80.150,30.870,-31.150
-0.644,1.062,0.395,-86.660,21.630,-28.840
-0.623,1.089,0.354,-104.090,18.060,-18.340
-0.581,1.176,0.311,-119.490,10.220,-1.260
-0.574,1.297,0.296,-134.120,2.450,23.870
-0.599,1.415,0.277,-136.920,-2.590,31.710
-0.616,1.473,0.332,-108.430,0.280,28.980
-0.478,1.415,0.487,-66.570,0.490,33.040
-0.374,1.338,0.669,-51.450,-5.320,45.710
-0.343,1.224,0.786,-56.350,-15.890,56.630
-0.316,1.052,0.834,-77.630,-30.310,74.130
-0.317,0.950,0.806,-89.880,-42.910,90.580
-0.327,0.894,0.758,-111.580,-50.120,104.930
-0.373,0.851,0.671,-138.530,-53.200,116.410
-0.414,0.797,0.636,-154.000,-52.850,125.720
-0.416,0.709,0.621,-148.400,-46.550,132.720
-0.417,0.593,0.615,-137.760,-39.760,135.870
-0.385,0.448,0.618,-119.910,-38.290,133.350
-0.266,0.283,0.646,-108.920,-37.800,127.400
-0.168,0.147,0.710,-96.670,-39.270,122.010
-0.091,0.025,0.777,-92.610,-40.250,102.970
-0.009,-0.005,0.792,-109.480,-41.370,86.310
0.058,0.027,0.808,-112.280,-40.810,75.110
0.141,0.058,0.850,-104.020,-44.030,68.180
0.204,0.090,0.889,-99.540,-42.350,61.250
0.237,0.135,0.892,-101.990,-33.600,57.610
0.239,0.162,0.876,-96.810,-30.380,56.630
0.228,0.203,0.877,-81.340,-30.730,35.980
0.250,0.199,0.899,-56.000,-37.030,52.290
0.299,0.193,0.921,-44.100,-45.570,53.130
0.372,0.195,0.930,-40.320,-57.540,57.820
0.430,0.190,0.903,-44.730,-65.450,60.410
0.457,0.189,0.840,-48.230,-68.110,61.040
0.492,0.159,0.783,-51.030,-66.290,62.580
0.535,0.104,0.762,-56.140,-59.430,67.760
0.594,0.079,0.761,-57.330,-51.730,74.970
0.602,0.056,0.786,-57.820,-43.610,83.160
0.646,0.009,0.769,-56.770,-37.170,86.940
0.670,-0.029,0.778,-47.180,-29.890,76.370
0.744,-0.125,0.837,-36.820,-30.940,82.880

1.019,-0.675,0.852,17.010,-23.800,74.060
1.089,-0.791,0.843,37.030,-15.330,68.180
1.187,-0.862,0.851,56.910,-3.640,65.660
1.249,-0.974,0.865,79.520,12.810,77.280
1.332,-1.062,1.017,72.100,29.610,94.500
1.175,-1.137,1.100,74.130,28.770,98.560
1.023,-1.214,1.119,50.260,32.690,81.760
0.662,-1.250,1.129,40.460,28.280,50.680
0.460,-1.272,1.136,43.330,18.060,7.420
0.388,-1.199,1.134,23.240,9.800,-40.600
0.382,-1.085,1.096,7.560,9.310,-75.950
0.466,-0.781,1.039,1.330,9.940,-109.060
0.564,-0.676,1.017,4.200,17.570,-123.270
0.641,-0.524,0.975,18.970,18.410,-126.840
0.725,-0.392,0.958,32.690,18.550,-124.390
0.782,-0.282,0.912,45.640,22.540,-120.470
0.777,-0.189,0.889,59.220,25.340,-116.760
0.794,-0.117,0.858,78.680,27.440,-111.860
0.862,-0.044,0.869,103.320,29.750,-97.790
0.888,-0.024,0.899,121.450,32.060,-86.100
0.866,-0.030,0.935,139.370,31.640,-79.800
0.851,-0.086,0.969,139.090,30.380,-76.230
0.780,-0.161,0.932,122.360,35.770,-75.390
0.711,-0.218,0.892,107.940,42.630,-79.380
0.635,-0.255,0.886,97.160,45.150,-105.770
0.578,-0.257,0.886,79.380,46.340,-101.010
0.524,-0.236,0.871,73.080,47.040,-106.890
0.490,-0.202,0.854,61.250,46.690,-111.790
0.416,-0.163,0.818,51.100,45.290,-116.060
0.353,-0.116,0.781,47.670,45.150,-119.630
0.319,-0.073,0.725,47.110,47.180,-124.670
0.258,0.037,0.700,44.660,52.990,-132.720
0.190,0.124,0.671,47.320,57.820,-137.550
0.163,0.240,0.656,48.930,62.020,-141.960
0.157,0.334,0.640,54.250,63.770,-142.030
0.113,0.399,0.628,56.980,64.750,-138.040
0.078,0.444,0.596,63.910,65.310,-130.900
0.059,0.480,0.569,70.280,62.790,-120.610
0.020,0.500,0.563,73.710,58.450,-108.220
-0.055,0.527,0.549,68.110,53.340,-82.740
-0.164,0.548,0.514,62.650,47.040,-63.280
-0.256,0.553,0.484,59.920,36.330,-45.150
-0.413,0.557,0.442,58.450,27.860,-32.480
-0.514,0.579,0.350,64.190,30.170,-23.940
-0.602,0.607,0.293,75.110,35.840,-20.650
-0.686,0.623,0.237,96.530,38.780,-22.960
-0.788,0.651,0.242,107.100,42.140,-21.840
-0.874,0.695,0.220,107.660,41.510,-24.710
-0.956,0.746,0.218,101.080,44.590,-29.960
-1.068,0.814,0.215,91.070,43.890,-39.200
-1.092,0.894,0.249,75.110,38.430,-52.920
-1.058,0.996,0.256,55.370,35.490,-66.220
-0.989,1.091,0.261,69.230,33.180,-76.930
-0.895,1.249,0.310,61.040,30.800,-76.440
-0.802,1.324,0.353,72.030,21.350,-71.260
-0.754,1.348,0.392,80.430,9.940,-66.920
-0.710,1.340,0.388,94.640,-7.980,-60.480
-0.644,1.355,0.390,102.410,-20.370,-49.560
-0.609,1.384,0.356,111.860,-33.180,-33.950
-0.613,1.356,0.308,119.630,-41.790,-31.500
-0.592,1.327,0.243,116.620,-45.780,-32.760
-0.537,1.326,0.201,108.640,-39.620,-33.880
-0.520,1.325,0.175,94.850,-27.720,-36.960
-0.486,1.355,0.161,77.910,-15.190,-40.530
-0.447,1.405,0.162,64.890,-0.560,-44.030
-0.399,1.423,0.189,54.740,16.590,-43.960
-0.382,1.423,0.249,42.560,32.060,-40.880
